Index,index,"SYMBOL 
","COMPANY 
","NAME OF THE ACQUIRER/DISPOSER 
","CATEGORY OF PERSON 
","% SHAREHOLDING (PRIOR) 
","NO. OF SECURITIES (ACQUIRED/DISPLOSED) 
","VALUE OF SECURITY (ACQUIRED/DISPLOSED) 
","ACQUISITION/DISPOSAL TRANSACTION TYPE 
","TYPE OF SECURITY (POST) 
","NO. OF SECURITY (POST) 
","MODE OF ACQUISITION 
","BROADCASTE DATE AND TIME 
"
23,23,BAJFINANCE,Bajaj Finance Limited,Shri Anurag Chottani,Employees/Designated Employees,0.0,6150,15073896,Sell,Equity Shares,9000,Market Sale,09-Jun-2020 21:09
24,24,BAJFINANCE,Bajaj Finance Limited,Shri Sidhant Dadwal,Employees/Designated Employees,0.0,5026,12281534,Pledge Revoke,Equity Shares,5026,Revokation of Pledge,09-Jun-2020 21:09
25,25,BAJFINANCE,Bajaj Finance Limited,Shri Raul Raj Verma,Employees/Designated Employees,0.0,1200,918444,Buy,Equity Shares,42502,ESOP,09-Jun-2020 21:09
26,26,BAJFINANCE,Bajaj Finance Limited,Shri Raul Raj Verma,Employees/Designated Employees,0.0,1000,2511000,Sell,Equity Shares,41502,Market Sale,09-Jun-2020 21:09
27,27,BHARTIARTL,Bharti Airtel Limited,Ashish Goenka,Employees/Designated Employees,0.0,10400,2251204,Buy,Equity Shares,10416,ESOP,10-Jun-2020 22:40
28,28,BHARTIARTL,Bharti Airtel Limited,Badal Bagri,Key Managerial Personnel,0.0,5169,1058971,Buy,Equity Shares,9169,ESOP,10-Jun-2020 22:40
29,29,BIOCON,Biocon Limited,Krishnasai Tanneeru,Employees/Designated Employees,0.0,3000,1170000,Sell,Equity Shares,21000,Market Sale,11-Jun-2020 16:17
30,30,BIOCON,Biocon Limited,Vivek Gupta,Employees/Designated Employees,0.0,4000,1568739,Sell,Equity Shares,110500,Market Sale,11-Jun-2020 16:17
31,31,BRITANNIA,Britannia Industries Limited,Varun Berry,Director,0.03,2738,9583000,Sell,Equity Shares,65872,Market Sale,09-Jun-2020 01:00
32,32,BRITANNIA,Britannia Industries Limited,Varun Berry,Director,0.05,40000,138213200,Sell,Equity Shares,68610,Market Sale,09-Jun-2020 01:00
33,33,BSOFT,BIRLASOFT LIMITED,National Engineering Industries Limited,Promoters,37.01,2173125,299999906,Buy,Equity Shares,104717424,Off Market,11-Jun-2020 17:55
34,34,CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,THE HINDUSTAN TIMES LIMITED,Promoters,13.83,10000,1383075,Buy,Equity Shares,57558649,Market Purchase,09-Jun-2020 16:40
35,35,CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,THE HINDUSTAN TIMES LIMITED,Promoters,13.83,15000,2070552,Buy,Equity Shares,57573649,Market Purchase,11-Jun-2020 16:49
36,36,CHEMBOND,Chembond Chemicals Ltd,Finor Piplaj Chemicals Limited,Promoter Group,1.96,2194,313662,Buy,Equity Shares,265145,Market Purchase,10-Jun-2020 18:52
37,37,CHEMBOND,Chembond Chemicals Ltd,NIRMAL V SHAH,Promoters,12.65,1000,141499,Buy,Equity Shares,1702291,Market Purchase,10-Jun-2020 18:52
38,38,CHEMFAB,Chemfab Alkalis Limited,NITIN S COWLAGI,Director,0.13,38570,2022225,Buy,Equity Shares,56142,ESOP,09-Jun-2020 13:30
39,39,CHEMFAB,Chemfab Alkalis Limited,SRINIVASAN VAITHAMANITHI MUDUMBAI,Key Managerial Personnel,0.51,10000,524300,Buy,Equity Shares,81428,ESOP,09-Jun-2020 13:30
40,40,COROMANDEL,Coromandel International Limited,A Ramachandra Rao,Employees/Designated Employees,0.01,2000,1350000,Sell,Equity Shares,29599,Market Sale,11-Jun-2020 20:26
41,41,COROMANDEL,Coromandel International Limited,V Ravichandran,Director,0.02,10000,6760000,Sell,Equity Shares,40410,Market Sale,11-Jun-2020 20:26
42,42,COROMANDEL,Coromandel International Limited,V Ravichandran,Director,0.02,4260,2854200,Sell,Equity Shares,50410,Market Sale,11-Jun-2020 20:26
